Company,Role,Application Date,Type Job,Sector,Contact person,Reach out day,Status,Next Stage Deadline,Plataforma,Resume,Location,URL
Softtek,Data Analyst,"June 20, 2024",Remote,Consultoría y Servicios de TI,,"August 3, 2024",Postulada,,OCC,Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar.pdf,CDMX,https://www.occ.com.mx/empleo/oferta/18605686/?returnURL=%2Fpostulaciones
UAG,Investigador y analista de datos,"June 24, 2024",Presencial,Educación,,"August 3, 2024",Postulada,,OCC,,Zapopan,https://www.occ.com.mx/empleo/oferta/18624477/?returnURL=%2Fpostulaciones
Softtek,,"July 9, 2024",No Definido,Consultoría y Servicios de TI,,,CV en sitio web,,Sitio Web,,No Definida,https://softtek.csod.com/ATS/careersite/da.aspx?routename=ATS/CareerSite/ConnectWithUsForm&site=2&c=softtek
"IENTC ",Data Analyst,"July 9, 2024",Presencial,Telecomunicaciones,,"August 20, 2024",Postulada,,Indeed,Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar%201.pdf,Querétaro,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=06e68d3cdc5f41b9&tk=1i2d21bfqihmt800
Confidencial,Analista big data,"July 9, 2024",Remote,Consultoría y Servicios de TI,,"August 20, 2024",Postulada,,OCC,Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar%202.pdf,León Gto,https://www.occ.com.mx/empleo/oferta/18541820/?returnURL=%2Fpostulaciones
Go Net,Data Analyst,"July 12, 2024",No Definido,Consultoría y Servicios de TI,,,CV en sitio web,,Sitio Web,,,https://gonet.us/es/talent
Adecco Tech,Data Analyst,"July 12, 2024",No Definido,Servicios de recursos humanos,"Laura Valentina Gaitán ",,Postulada,,LinkedIn,Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar%203.pdf,No Definida,https://www.linkedin.com/posts/laura-valentina-gait%C3%A1n-rangel-itrecruiter_trabajosihay-adeccotech-julio-activity-7217218400123564034-Ch8Z?utm_source=share&utm_medium=member_desktop
eTribe,Analista de Datos Jr,"July 15, 2024",Remote,Consultoría y Servicios de TI,Julia o Enrique Sánchez,"August 30, 2024",Primer entrevista,,"Glassdoor, Indeed, Sitio Web, correo a RH",Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar%204.pdf,CDMX,https://mx.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=es&jk=b0c757dbf68913c7&tk=1i2smk0nals3i800
https://mx.computrabajo.com/empresas/ofertas-de-trabajo-de-codster-F42DDD7843663D80,Data Analyst,"July 15, 2024",Remote,Soluciones Digitales,,"August 20, 2024",Postulada,,Computrabajo,Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar%205.pdf,CDMX,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-data-analyst-jr-en-miguel-hidalgo-444917DF59128A0B61373E686DCF3405
https://mx.computrabajo.com/modelo,Data Analyst,"July 16, 2024",,Bebidas,,"August 21, 2024",Postulada,,Computrabajo,Miriam%E2%80%99s%20Applications%20Tracker%204ad0938ea99b4703b78dd823a1ecabe6/analista_de_datos_Miriam_Aguilar%206.pdf,Guadalajara,https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-datos-recursos-humanos-guadalajara-por-proyecto-en-guadalajara-6A0CFB9D38686CA661373E686DCF3405
